,time,type,truth,guess,err
0,2/14/2020 18:58:40,radial,2666,30.0,11.364203066466484
1,2/14/2020 18:58:40,radial,7951,70.0,12.944185868160329
2,2/14/2020 18:58:40,radial,1012,10.0,9.968846758896294
3,2/14/2020 18:58:40,small-multiple,9883,100.0,13.256079660051142
4,2/14/2020 18:58:40,small-multiple,7466,30.0,12.860335306582256
5,2/14/2020 18:58:40,small-multiple,1886,20.0,10.865829911173387
6,2/14/2020 18:58:40,bar,8947,90.0,13.11262276432907
7,2/14/2020 18:58:40,bar,2894,20.0,11.48890709278945
8,2/14/2020 18:58:40,bar,5294,50.0,12.356486358995747
9,2/14/2020 18:58:40,pie,9772,30.0,13.2500207790007
10,2/14/2020 18:58:40,pie,8378,90.0,13.016830046315922
11,2/14/2020 18:58:40,pie,6666,10.0,12.700466811768912
12,2/14/2020 14:8:2,radial,8611,40.0,13.0652688618588
13,2/14/2020 14:8:2,radial,4047,40.0,11.968351799189303
14,2/14/2020 14:8:2,radial,2978,25.0,11.528026708883159
15,2/14/2020 14:8:2,small-multiple,350,33.0,8.308907804063939
16,2/14/2020 14:8:2,small-multiple,3720,40.0,11.845539054699103
17,2/14/2020 14:8:2,small-multiple,7469,33.0,12.860335306582256
18,2/14/2020 14:8:2,bar,3333,10.0,11.698324845970204
19,2/14/2020 14:8:2,bar,1176,10.0,10.18750672775828
20,2/14/2020 14:8:2,bar,4084,40.0,11.981611874903278
21,2/14/2020 14:8:2,pie,8333,8.0,13.023256218771062
22,2/14/2020 14:8:2,pie,3750,50.0,11.853358294277715
23,2/14/2020 14:8:2,pie,8674,90.0,13.067455369093787
24,2/14/2020 14:28:16,radial,4239,73.0,12.024490411168511
25,2/14/2020 14:28:16,radial,2692,12.0,11.388084573656561
26,2/14/2020 14:28:16,radial,6811,100.0,12.712338913364338
27,2/14/2020 14:28:16,small-multiple,2405,40.0,11.2077007185923
28,2/14/2020 14:28:16,small-multiple,8461,33.0,13.040995996010329
29,2/14/2020 14:28:16,small-multiple,7956,33.0,12.951853847895133
30,2/14/2020 14:28:16,bar,5000,50.0,12.273249241087298
31,2/14/2020 14:28:16,bar,4923,48.0,12.25122349523062
32,2/14/2020 14:28:16,bar,9268,89.0,13.164140919965003
33,2/14/2020 14:28:16,pie,9489,95.0,13.19754307515797
34,2/14/2020 14:28:16,pie,9878,100.0,13.255342133015647
35,2/14/2020 14:28:16,pie,7000,83.0,12.755956812394311
36,2/15/2020 12:22:9,radial,7058,20.0,12.78097542183558
37,2/15/2020 12:22:9,radial,3571,50.0,11.781820728471791
38,2/15/2020 12:22:9,radial,2131,90.0,10.99514882144625
39,2/15/2020 12:22:9,small-multiple,9677,2.0,13.240064585269538
40,2/15/2020 12:22:9,small-multiple,1764,80.0,10.717783507500728
41,2/15/2020 12:22:9,small-multiple,1250,40.0,10.240940363208098
42,2/15/2020 12:22:9,bar,2258,60.0,11.10205771451267
43,2/15/2020 12:22:9,bar,4310,60.0,12.053289557495521
44,2/15/2020 12:22:9,bar,1886,60.0,10.83456980721744
45,2/15/2020 12:22:9,pie,9402,5.0,13.198003724147199
46,2/15/2020 12:22:9,pie,9333,2.0,13.18783531365737
47,2/15/2020 12:22:9,pie,5000,50.0,12.273249241087298
48,2/15/2020 13:43:46,radial,9843,42.0,13.258731639886811
49,2/15/2020 13:43:46,radial,8108,70.0,12.972643297425492
50,2/15/2020 13:43:46,radial,7717,90.0,12.89692362876265
51,2/15/2020 13:43:46,small-multiple,1506,10.0,10.547015000894591
52,2/15/2020 13:43:46,small-multiple,1744,15.0,10.755826451133084
53,2/15/2020 13:43:46,small-multiple,9692,99.0,13.227785140323064
54,2/15/2020 13:43:46,bar,7826,77.0,12.919817700929181
55,2/15/2020 13:43:46,bar,8969,90.0,13.116201796782654
56,2/15/2020 13:43:46,bar,7666,80.0,12.88914742842637
57,2/15/2020 13:43:46,pie,9891,90.0,13.258731639886811
58,2/15/2020 13:43:46,pie,9629,99.0,13.218279421745619
59,2/15/2020 13:43:46,pie,9895,69.0,13.262406876665027
60,2/15/2020 11:14:39,radial,7916,85.0,12.935003861058997
61,2/15/2020 11:14:39,radial,6756,70.0,12.706954611677583
62,2/15/2020 11:14:39,radial,2680,27.0,11.373476933327764
63,2/15/2020 11:14:39,small-multiple,1960,19.0,10.922677308985447
64,2/15/2020 11:14:39,small-multiple,7901,80.0,12.933160426105964
65,2/15/2020 11:14:39,small-multiple,1000,12.0,9.948549747245734
66,2/15/2020 11:14:39,bar,4534,45.0,12.132218553419296
67,2/15/2020 11:14:39,bar,6363,65.0,12.620706675843017
68,2/15/2020 11:14:39,bar,3000,25.0,11.538734569247922
69,2/15/2020 11:14:39,pie,9368,100.0,13.178061786748291
70,2/15/2020 11:14:39,pie,8750,80.0,13.081837078060769
71,2/15/2020 11:14:39,pie,9850,100.0,13.25120499949604
72,2/15/2020 15:26:39,radial,5375,43.0,12.38049488631296
73,2/15/2020 15:26:39,radial,1208,64.0,10.160028965299812
74,2/15/2020 15:26:39,radial,3529,30.0,11.772778487867733
75,2/15/2020 15:26:39,small-multiple,533,91.0,8.788310503700918
76,2/15/2020 15:26:39,small-multiple,281,80.0,7.651948610723446
77,2/15/2020 15:26:39,small-multiple,526,83.0,8.791569912126878
78,2/15/2020 15:26:39,bar,5833,33.0,12.50186827713279
79,2/15/2020 15:26:39,bar,9302,5.0,13.18256893749655
80,2/15/2020 15:26:39,bar,2698,42.0,11.375107327670955
81,2/15/2020 15:26:39,pie,7346,10.0,12.840802505839292
82,2/15/2020 15:26:39,pie,8983,0.0,13.133001693740907
83,2/15/2020 15:26:39,pie,7500,10.0,12.870774080165248
84,2/16/2020 16:29:11,radial,8659,75.0,13.067455369093787
85,2/16/2020 16:29:11,radial,6236,45.0,12.595985872526523
86,2/16/2020 16:29:11,radial,4666,45.0,12.17402839914837
87,2/16/2020 16:29:11,small-multiple,4761,50.0,12.201855896117646
88,2/16/2020 16:29:11,small-multiple,4000,50.0,11.947682592135813
89,2/16/2020 16:29:11,small-multiple,823,17.0,9.654859754207394
90,2/16/2020 16:29:11,bar,3157,35.0,11.608312584075923
91,2/16/2020 16:29:11,bar,1666,20.0,10.68485817694223
92,2/16/2020 16:29:11,bar,3921,40.0,11.922259183638582
93,2/16/2020 16:29:11,pie,5555,50.0,12.426559606822797
94,2/16/2020 16:29:11,pie,7714,60.0,12.902021746604941
95,2/16/2020 16:29:11,pie,9191,80.0,13.153413487066427
96,2/16/2020 17:51:22,radial,8113,80.0,12.971745610507899
97,2/16/2020 17:51:22,radial,298,7.0,8.185494924210866
98,2/16/2020 17:51:22,radial,2093,22.0,11.016198912792218
99,2/16/2020 17:51:22,small-multiple,8076,70.0,12.966888425427795
100,2/16/2020 17:51:22,small-multiple,2121,20.0,11.036946277951346
101,2/16/2020 17:51:22,small-multiple,2903,35.0,11.485892186299635
102,2/16/2020 17:51:22,bar,6885,70.0,12.734524403207798
103,2/16/2020 17:51:22,bar,864,10.0,9.738303411474638
104,2/16/2020 17:51:22,bar,7368,70.0,12.833310145825058
105,2/16/2020 17:51:22,pie,7567,80.0,12.870196125576715
106,2/16/2020 17:51:22,pie,8214,90.0,12.987996722165768
107,2/16/2020 17:51:22,pie,7435,80.0,12.84453414488423
108,2/16/2020 18:26:45,radial,9333,90.0,13.174164978272323
109,2/16/2020 18:26:45,radial,1612,22.0,10.634924465135095
110,2/16/2020 18:26:45,radial,8369,83.0,13.016481868860437
111,2/16/2020 18:26:45,small-multiple,8636,83.0,13.06223590913968
112,2/16/2020 18:26:45,small-multiple,6197,62.5,12.582759441561585
113,2/16/2020 18:26:45,small-multiple,4166,50.0,12.007071079853594
114,2/16/2020 18:26:45,bar,4264,40.0,12.044436812116935
115,2/16/2020 18:26:45,bar,2291,20.0,11.149191397099338
116,2/16/2020 18:26:45,bar,7575,80.0,12.871736823592569
117,2/16/2020 18:26:45,pie,8837,90.0,13.094593195343323
118,2/16/2020 18:26:45,pie,9459,100.0,13.192157940841609
119,2/16/2020 18:26:45,pie,5454,62.5,12.396504441891397
120,2/16/2020 20:55:36,radial,5000,50.0,12.273249241087298
121,2/16/2020 20:55:36,radial,3888,33.0,11.912561924038823
122,2/16/2020 20:55:36,radial,3246,25.0,11.653348932151198
123,2/16/2020 20:55:36,small-multiple,5319,55.0,12.36197803185435
124,2/16/2020 20:55:36,small-multiple,3827,37.0,11.88802971456407
125,2/16/2020 20:55:36,small-multiple,740,20.0,9.49210354247923
126,2/16/2020 20:55:36,bar,5357,50.0,12.373714813957372
127,2/16/2020 20:55:36,bar,6666,66.0,12.688277632644148
128,2/16/2020 20:55:36,bar,5901,60.0,12.512030543427155
129,2/16/2020 20:55:36,pie,9864,100.0,13.25327504923279
130,2/16/2020 20:55:36,pie,7500,65.0,12.860141281864351
131,2/16/2020 20:55:36,pie,10000,100.0,13.273231025585812
132,2/17/2020 11:25:2,radial,2307,25.0,11.156162099926359
133,2/17/2020 11:25:2,radial,7564,75.0,12.87058145436048
134,2/17/2020 11:25:2,radial,1162,12.5,10.166947625077155
135,2/17/2020 11:25:2,small-multiple,10000,100.0,13.273231025585812
136,2/17/2020 11:25:2,small-multiple,6949,50.0,12.75219768449371
137,2/17/2020 11:25:2,small-multiple,6451,73.0,12.638916656807444
138,2/17/2020 11:25:2,bar,7586,75.0,12.874813292317457
139,2/17/2020 11:25:2,bar,816,10.0,9.654859754207394
140,2/17/2020 11:25:2,bar,5510,60.0,12.412073603507991
141,2/17/2020 11:25:2,pie,5000,33.0,12.27819533798263
142,2/17/2020 11:25:2,pie,9230,90.0,13.157998180322561
143,2/17/2020 11:25:2,pie,9552,100.0,13.206422993077494
144,2/17/2020 13:1:57,radial,1025,10.0,9.98744167293612
145,2/17/2020 13:1:57,radial,5454,0.6,12.412973332185638
146,2/17/2020 13:1:57,radial,1014,0.1,9.98587750596923
147,2/17/2020 13:1:57,small-multiple,6206,10.0,12.597150533867207
148,2/17/2020 13:1:57,small-multiple,5526,66.0,12.414718264161765
149,2/17/2020 13:1:57,small-multiple,222,20.0,7.659103963473662
150,2/17/2020 13:1:57,bar,5945,60.0,12.522857343080423
151,2/17/2020 13:1:57,bar,7750,80.0,12.90503437417786
152,2/17/2020 13:1:57,bar,6734,70.0,12.702199746468308
153,2/17/2020 13:1:57,pie,8271,70.0,13.001606111538559
154,2/17/2020 13:1:57,pie,3333,30.0,11.689615851157408
155,2/17/2020 13:1:57,pie,1875,10.0,10.865056607280358
156,2/17/2020 13:2:45,radial,5777,93.0,12.472722566001611
157,2/17/2020 13:2:45,radial,6216,50.0,12.590148420790957
158,2/17/2020 13:2:45,radial,6962,75.0,12.74968614656818
159,2/17/2020 13:2:45,small-multiple,6262,60.0,12.598546887533423
160,2/17/2020 13:2:45,small-multiple,4269,65.0,12.037589849823057
161,2/17/2020 13:2:45,small-multiple,1566,10.0,10.603742238069026
162,2/17/2020 13:2:45,bar,5411,50.0,12.388320058034934
163,2/17/2020 13:2:45,bar,3137,20.0,11.606000294378083
164,2/17/2020 13:2:45,bar,9531,95.0,13.203978814694066
165,2/17/2020 13:2:45,pie,7555,75.0,12.868846663782126
166,2/17/2020 13:2:45,pie,6190,65.0,12.5805235712328
167,2/17/2020 13:2:45,pie,9574,85.0,13.212059345948457
168,2/17/2020 13:8:31,radial,5555,60.0,12.423936583821853
169,2/17/2020 13:8:31,radial,2954,33.0,11.512308379570566
170,2/17/2020 13:8:31,radial,5555,65.0,12.422623281766354
171,2/17/2020 13:8:31,small-multiple,4800,47.0,12.21466062749922
172,2/17/2020 13:8:31,small-multiple,4333,55.0,12.062762921032624
